EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.95713,74.9339616,33,827506,1716229800000,1716276940000
EQPT-4,12.9569616,74.9339566,33,827525,1716229800000,1716276942000
EQPT-4,12.9560116,74.9339033,38,827631,1716229800000,1716276952000
EQPT-4,12.9550233,74.9339466,38,827742,1716229800000,1716276962000
EQPT-4,12.9540816,74.9340116,36,827847,1716229800000,1716276971000
EQPT-4,12.9536883,74.9340216,39,827890,1716229800000,1716276975000
EQPT-4,12.9527283,74.9341383,43,827998,1716229800000,1716276985000
EQPT-4,12.9517533,74.9342466,41,828107,1716229800000,1716276994000
EQPT-4,12.9507999,74.9343483,42,828214,1716229800000,1716277003000
EQPT-4,12.9498183,74.9343883,36,828323,1716229800000,1716277012000
EQPT-4,12.9488916,74.9344283,32,828426,1716229800000,1716277023000
EQPT-4,12.9480716,74.93437,33,828518,1716229800000,1716277033000
EQPT-4,12.9473033,74.9341783,35,828606,1716229800000,1716277042000
EQPT-4,12.9468,74.9339399,35,828667,1716229800000,1716277048000
EQPT-4,12.9464133,74.93368,35,828719,1716229800000,1716277053000
EQPT-4,12.9456566,74.9330849,31,828825,1716229800000,1716277064000
EQPT-4,12.9455216,74.933025,29,828841,1716229800000,1716277066000
EQPT-4,12.94545,74.9330533,26,828865,1716229800000,1716277067000
EQPT-4,12.9453833,74.93308,24,828865,1716229800000,1716277068000
EQPT-4,12.9452816,74.9331349,20,828871,1716229800000,1716277070000
EQPT-4,12.945255,74.9331766,17,828876,1716229800000,1716277071000
EQPT-4,12.9452183,74.9332366,11,828884,1716229800000,1716277073000
EQPT-4,12.9449883,74.9335666,22,828929,1716229800000,1716277083000
EQPT-4,12.9446116,74.9340899,32,828999,1716229800000,1716277092000
EQPT-4,12.9440783,74.9348733,39,829103,1716229800000,1716277102000
EQPT-4,12.9435266,74.935735,44,829214,1716229800000,1716277112000
EQPT-4,12.943155,74.93626,35,829285,1716229800000,1716277118000
EQPT-4,12.9428283,74.9365349,34,829332,1716229800000,1716277123000
EQPT-4,12.9426699,74.9365766,33,829359,1716229800000,1716277125000
EQPT-4,12.9425083,74.9365733,33,829369,1716229800000,1716277127000
EQPT-4,12.9423433,74.9365333,34,829388,1716229800000,1716277129000
EQPT-4,12.9417816,74.9363916,39,829452,1716229800000,1716277135000
EQPT-4,12.9410133,74.9363933,37,829538,1716229800000,1716277143000
EQPT-4,12.9408416,74.9364616,35,829559,1716229800000,1716277145000
EQPT-4,12.9407166,74.9365649,32,829576,1716229800000,1716277147000
EQPT-4,12.9401549,74.9369783,34,829654,1716229800000,1716277155000
EQPT-4,12.9397566,74.9370583,35,829699,1716229800000,1716277159000
EQPT-4,12.9395016,74.937085,32,829728,1716229800000,1716277162000
EQPT-4,12.9393216,74.9370549,34,829748,1716229800000,1716277164000
EQPT-4,12.9390866,74.9369816,33,829776,1716229800000,1716277167000
EQPT-4,12.9388799,74.9368583,32,829804,1716229800000,1716277170000
EQPT-4,12.9388366,74.9367616,35,829815,1716229800000,1716277171000
EQPT-4,12.9387533,74.9365816,37,829837,1716229800000,1716277173000
EQPT-4,12.9387033,74.9363033,34,829869,1716229800000,1716277176000
EQPT-4,12.9387433,74.936215,34,829879,1716229800000,1716277177000
EQPT-4,12.9388133,74.9360283,34,829901,1716229800000,1716277179000
EQPT-4,12.9389116,74.9358866,31,829920,1716229800000,1716277181000
EQPT-4,12.9390183,74.9357733,27,829937,1716229800000,1716277183000
EQPT-4,12.9392216,74.9355216,29,829972,1716229800000,1716277187000
EQPT-4,12.9392666,74.93536,31,829991,1716229800000,1716277189000
EQPT-4,12.9393716,74.934955,35,830036,1716229800000,1716277194000
EQPT-4,12.9395533,74.9346733,33,830073,1716229800000,1716277198000
EQPT-4,12.93972,74.9344933,32,830100,1716229800000,1716277201000
EQPT-4,12.9404266,74.9338899,33,830202,1716229800000,1716277212000
EQPT-4,12.9410583,74.9334016,34,830291,1716229800000,1716277221000
EQPT-4,12.9415116,74.933055,37,830353,1716229800000,1716277227000
EQPT-4,12.9416133,74.9328133,36,830384,1716229800000,1716277230000
EQPT-4,12.94153,74.9326666,29,830414,1716229800000,1716277232000
EQPT-4,12.9414483,74.9326233,25,830414,1716229800000,1716277233000
EQPT-4,12.9413549,74.9325716,25,830426,1716229800000,1716277234000
EQPT-4,12.9412583,74.9325333,25,830438,1716229800000,1716277235000
EQPT-4,12.9411366,74.9324066,26,830457,1716229800000,1716277237000
EQPT-4,12.9407666,74.9318716,28,830529,1716229800000,1716277245000
EQPT-4,12.9407283,74.9316766,23,830559,1716229800000,1716277248000
EQPT-4,12.9406899,74.9310816,31,830616,1716229800000,1716277256000
